location_name,parameter,value,unit,datetimeLocal
Sheffield Devonshire Green - UKA00575,no2,15,µg/m³,8/24/2025 6:00
Sheffield Devonshire Green - UKA00575,no2,13,µg/m³,8/24/2025 7:00
Sheffield Devonshire Green - UKA00575,no2,12,µg/m³,8/24/2025 8:00
Sheffield Devonshire Green - UKA00575,no2,22,µg/m³,8/24/2025 9:00
Sheffield Devonshire Green - UKA00575,no2,20,µg/m³,8/24/2025 10:00
Sheffield Devonshire Green - UKA00575,no2,19,µg/m³,8/24/2025 11:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,8/24/2025 12:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/24/2025 13:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,8/24/2025 14:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/24/2025 15:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/24/2025 16:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/24/2025 17:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,8/24/2025 18:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,8/24/2025 19:00
Sheffield Devonshire Green - UKA00575,no2,17,µg/m³,8/24/2025 20:00
Sheffield Devonshire Green - UKA00575,no2,28,µg/m³,8/24/2025 21:00
Sheffield Devonshire Green - UKA00575,no2,37,µg/m³,8/24/2025 22:00
Sheffield Devonshire Green - UKA00575,no2,45,µg/m³,8/24/2025 23:00
Sheffield Devonshire Green - UKA00575,no2,45.32625,µg/m³,8/25/2025 0:00
Sheffield Devonshire Green - UKA00575,no2,26,µg/m³,8/25/2025 1:00
Sheffield Devonshire Green - UKA00575,no2,18,µg/m³,8/25/2025 2:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,8/25/2025 3:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,8/25/2025 4:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,8/25/2025 5:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,8/25/2025 6:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,8/25/2025 7:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,8/25/2025 8:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,8/25/2025 9:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/25/2025 10:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/25/2025 11:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,8/25/2025 12:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/25/2025 13:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/25/2025 14:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/25/2025 15:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/25/2025 16:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/25/2025 17:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/25/2025 18:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,8/25/2025 19:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,8/25/2025 20:00
Sheffield Devonshire Green - UKA00575,no2,20,µg/m³,8/25/2025 21:00
Sheffield Devonshire Green - UKA00575,no2,20,µg/m³,8/25/2025 22:00
Sheffield Devonshire Green - UKA00575,no2,16,µg/m³,8/25/2025 23:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,8/26/2025 1:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,8/26/2025 2:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/26/2025 3:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/26/2025 4:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,8/26/2025 5:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,8/26/2025 6:00
Sheffield Devonshire Green - UKA00575,no2,12,µg/m³,8/26/2025 7:00
Sheffield Devonshire Green - UKA00575,no2,14,µg/m³,8/26/2025 8:00
Sheffield Devonshire Green - UKA00575,no2,18,µg/m³,8/26/2025 9:00
Sheffield Devonshire Green - UKA00575,no2,16,µg/m³,8/26/2025 10:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/26/2025 11:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,8/26/2025 12:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,8/26/2025 13:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,8/26/2025 14:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,8/26/2025 15:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,8/26/2025 16:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,8/26/2025 17:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,8/26/2025 18:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,8/26/2025 19:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/26/2025 20:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,8/26/2025 21:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,8/26/2025 22:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/26/2025 23:00
Sheffield Devonshire Green - UKA00575,no2,6.5025,µg/m³,8/27/2025 0:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/27/2025 1:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,8/27/2025 2:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,8/27/2025 3:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,8/27/2025 4:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,8/27/2025 5:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,8/27/2025 6:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,8/27/2025 7:00
Sheffield Devonshire Green - UKA00575,no2,12,µg/m³,8/27/2025 8:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,8/27/2025 9:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/27/2025 10:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,8/27/2025 11:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/27/2025 12:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/27/2025 13:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,8/27/2025 14:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,8/27/2025 15:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,8/27/2025 16:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/27/2025 17:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/27/2025 18:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,8/27/2025 19:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,8/27/2025 20:00
Sheffield Devonshire Green - UKA00575,no2,13,µg/m³,8/27/2025 21:00
Sheffield Devonshire Green - UKA00575,no2,13,µg/m³,8/27/2025 22:00
Sheffield Devonshire Green - UKA00575,no2,25,µg/m³,8/27/2025 23:00
Sheffield Devonshire Green - UKA00575,no2,25.43625,µg/m³,8/28/2025 0:00
Sheffield Devonshire Green - UKA00575,no2,21,µg/m³,8/28/2025 1:00
Sheffield Devonshire Green - UKA00575,no2,12,µg/m³,8/28/2025 2:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,8/28/2025 3:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/28/2025 4:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/28/2025 5:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,8/28/2025 6:00
Sheffield Devonshire Green - UKA00575,no2,13,µg/m³,8/28/2025 7:00
Sheffield Devonshire Green - UKA00575,no2,17,µg/m³,8/28/2025 8:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,8/28/2025 9:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/28/2025 10:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,8/28/2025 11:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,8/28/2025 12:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/28/2025 13:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/28/2025 14:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,8/28/2025 15:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/28/2025 16:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/28/2025 17:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,8/28/2025 18:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/28/2025 19:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,8/28/2025 20:00
Sheffield Devonshire Green - UKA00575,no2,12,µg/m³,8/28/2025 21:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,8/28/2025 22:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,8/28/2025 23:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/29/2025 1:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/29/2025 2:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/29/2025 3:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/29/2025 4:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/29/2025 5:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,8/29/2025 6:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,8/29/2025 7:00
Sheffield Devonshire Green - UKA00575,no2,12,µg/m³,8/29/2025 8:00
Sheffield Devonshire Green - UKA00575,no2,15,µg/m³,8/29/2025 9:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,8/29/2025 10:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/29/2025 11:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/29/2025 12:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/29/2025 13:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,8/29/2025 14:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,8/29/2025 15:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/29/2025 16:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/29/2025 17:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/29/2025 18:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/29/2025 19:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,8/29/2025 20:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,8/29/2025 21:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,8/29/2025 22:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,8/29/2025 23:00
Sheffield Devonshire Green - UKA00575,no2,9.5625,µg/m³,8/30/2025 0:00
Sheffield Devonshire Green - UKA00575,no2,14,µg/m³,8/30/2025 1:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,8/30/2025 2:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,8/30/2025 3:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/30/2025 4:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,8/30/2025 5:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,8/30/2025 6:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,8/30/2025 7:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/30/2025 8:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/30/2025 9:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,8/30/2025 10:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,8/30/2025 11:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,8/30/2025 12:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,8/30/2025 13:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/30/2025 14:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/30/2025 15:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/30/2025 16:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/30/2025 17:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,8/30/2025 18:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,8/30/2025 19:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,8/30/2025 20:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,8/30/2025 21:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/30/2025 22:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,8/30/2025 23:00
Sheffield Devonshire Green - UKA00575,no2,5.355,µg/m³,8/31/2025 0:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/31/2025 1:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/31/2025 2:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/31/2025 3:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,8/31/2025 4:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,8/31/2025 5:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,8/31/2025 6:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,8/31/2025 7:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,8/31/2025 8:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,8/31/2025 9:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,8/31/2025 10:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,8/31/2025 11:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,8/31/2025 12:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,8/31/2025 13:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,8/31/2025 14:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,8/31/2025 15:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,8/31/2025 16:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,8/31/2025 17:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,8/31/2025 18:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,8/31/2025 19:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,8/31/2025 20:00
Sheffield Devonshire Green - UKA00575,no2,12,µg/m³,8/31/2025 21:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,8/31/2025 22:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,8/31/2025 23:00
Sheffield Devonshire Green - UKA00575,no2,8.7975,µg/m³,9/1/2025 0:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,9/1/2025 1:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,9/1/2025 2:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,9/1/2025 3:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,9/1/2025 4:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,9/1/2025 5:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,9/1/2025 6:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,9/1/2025 7:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,9/1/2025 8:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,9/1/2025 9:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,9/1/2025 10:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,9/1/2025 11:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,9/1/2025 12:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,9/1/2025 13:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,9/1/2025 14:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,9/1/2025 15:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,9/1/2025 16:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,9/1/2025 17:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,9/1/2025 18:00
Sheffield Devonshire Green - UKA00575,no2,12,µg/m³,9/1/2025 19:00
Sheffield Devonshire Green - UKA00575,no2,17,µg/m³,9/1/2025 20:00
Sheffield Devonshire Green - UKA00575,no2,13,µg/m³,9/1/2025 21:00
Sheffield Devonshire Green - UKA00575,no2,12,µg/m³,9/1/2025 22:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,9/1/2025 23:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,9/2/2025 1:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,9/2/2025 2:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,9/2/2025 3:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,9/2/2025 4:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,9/2/2025 5:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,9/2/2025 6:00
Sheffield Devonshire Green - UKA00575,no2,16,µg/m³,9/2/2025 7:00
Sheffield Devonshire Green - UKA00575,no2,15,µg/m³,9/2/2025 8:00
Sheffield Devonshire Green - UKA00575,no2,15,µg/m³,9/2/2025 9:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,9/2/2025 10:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,9/2/2025 11:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,9/2/2025 12:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,9/2/2025 13:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,9/2/2025 14:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,9/2/2025 15:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,9/2/2025 16:00
Sheffield Devonshire Green - UKA00575,no2,12,µg/m³,9/2/2025 17:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,9/2/2025 18:00
Sheffield Devonshire Green - UKA00575,no2,16,µg/m³,9/2/2025 19:00
Sheffield Devonshire Green - UKA00575,no2,23,µg/m³,9/2/2025 20:00
Sheffield Devonshire Green - UKA00575,no2,17,µg/m³,9/2/2025 21:00
Sheffield Devonshire Green - UKA00575,no2,19,µg/m³,9/2/2025 22:00
Sheffield Devonshire Green - UKA00575,no2,17,µg/m³,9/2/2025 23:00
Sheffield Devonshire Green - UKA00575,no2,17.02125,µg/m³,9/3/2025 0:00
Sheffield Devonshire Green - UKA00575,no2,18,µg/m³,9/3/2025 1:00
Sheffield Devonshire Green - UKA00575,no2,13,µg/m³,9/3/2025 2:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,9/3/2025 3:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,9/3/2025 4:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,9/3/2025 5:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,9/3/2025 6:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,9/3/2025 7:00
Sheffield Devonshire Green - UKA00575,no2,12,µg/m³,9/3/2025 8:00
Sheffield Devonshire Green - UKA00575,no2,18,µg/m³,9/3/2025 9:00
Sheffield Devonshire Green - UKA00575,no2,18,µg/m³,9/3/2025 10:00
Sheffield Devonshire Green - UKA00575,no2,17,µg/m³,9/3/2025 11:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,9/3/2025 12:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,9/3/2025 13:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,9/3/2025 14:00
Sheffield Devonshire Green - UKA00575,no2,14,µg/m³,9/3/2025 15:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,9/3/2025 16:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,9/3/2025 17:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,9/3/2025 18:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,9/3/2025 19:00
Sheffield Devonshire Green - UKA00575,no2,14,µg/m³,9/3/2025 20:00
Sheffield Devonshire Green - UKA00575,no2,13,µg/m³,9/3/2025 21:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,9/3/2025 22:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,9/3/2025 23:00
Sheffield Devonshire Green - UKA00575,no2,3.4425,µg/m³,9/4/2025 0:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,9/4/2025 1:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,9/4/2025 2:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,9/4/2025 3:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,9/4/2025 4:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,9/4/2025 5:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,9/4/2025 6:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,9/4/2025 7:00
Sheffield Devonshire Green - UKA00575,no2,15,µg/m³,9/4/2025 8:00
Sheffield Devonshire Green - UKA00575,no2,22,µg/m³,9/4/2025 9:00
Sheffield Devonshire Green - UKA00575,no2,19,µg/m³,9/4/2025 10:00
Sheffield Devonshire Green - UKA00575,no2,19,µg/m³,9/4/2025 11:00
Sheffield Devonshire Green - UKA00575,no2,15,µg/m³,9/4/2025 12:00
Sheffield Devonshire Green - UKA00575,no2,17,µg/m³,9/4/2025 13:00
Sheffield Devonshire Green - UKA00575,no2,18,µg/m³,9/4/2025 14:00
Sheffield Devonshire Green - UKA00575,no2,18,µg/m³,9/4/2025 15:00
Sheffield Devonshire Green - UKA00575,no2,14,µg/m³,9/4/2025 16:00
Sheffield Devonshire Green - UKA00575,no2,12,µg/m³,9/4/2025 17:00
Sheffield Devonshire Green - UKA00575,no2,12,µg/m³,9/4/2025 18:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,9/4/2025 19:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,9/4/2025 20:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,9/4/2025 21:00
Sheffield Devonshire Green - UKA00575,no2,21,µg/m³,9/4/2025 22:00
Sheffield Devonshire Green - UKA00575,no2,23,µg/m³,9/4/2025 23:00
Sheffield Devonshire Green - UKA00575,no2,19,µg/m³,9/5/2025 1:00
Sheffield Devonshire Green - UKA00575,no2,18.7425,µg/m³,9/5/2025 2:00
Sheffield Devonshire Green - UKA00575,no2,13.57875,µg/m³,9/5/2025 3:00
Sheffield Devonshire Green - UKA00575,no2,14,µg/m³,9/5/2025 4:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,9/5/2025 5:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,9/5/2025 6:00
Sheffield Devonshire Green - UKA00575,no2,16,µg/m³,9/5/2025 7:00
Sheffield Devonshire Green - UKA00575,no2,24,µg/m³,9/5/2025 8:00
Sheffield Devonshire Green - UKA00575,no2,13,µg/m³,9/5/2025 9:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,9/5/2025 10:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,9/5/2025 11:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,9/5/2025 12:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,9/5/2025 13:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,9/5/2025 14:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,9/5/2025 15:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,9/5/2025 16:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,9/5/2025 17:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,9/5/2025 18:00
Sheffield Devonshire Green - UKA00575,no2,12,µg/m³,9/5/2025 19:00
Sheffield Devonshire Green - UKA00575,no2,16,µg/m³,9/5/2025 20:00
Sheffield Devonshire Green - UKA00575,no2,20,µg/m³,9/5/2025 21:00
Sheffield Devonshire Green - UKA00575,no2,26,µg/m³,9/5/2025 22:00
Sheffield Devonshire Green - UKA00575,no2,30,µg/m³,9/5/2025 23:00
Sheffield Devonshire Green - UKA00575,no2,30.02625,µg/m³,9/6/2025 0:00
Sheffield Devonshire Green - UKA00575,no2,29,µg/m³,9/6/2025 1:00
Sheffield Devonshire Green - UKA00575,no2,21,µg/m³,9/6/2025 2:00
Sheffield Devonshire Green - UKA00575,no2,22,µg/m³,9/6/2025 3:00
Sheffield Devonshire Green - UKA00575,no2,20,µg/m³,9/6/2025 4:00
Sheffield Devonshire Green - UKA00575,no2,15,µg/m³,9/6/2025 5:00
Sheffield Devonshire Green - UKA00575,no2,14,µg/m³,9/6/2025 6:00
Sheffield Devonshire Green - UKA00575,no2,14,µg/m³,9/6/2025 7:00
Sheffield Devonshire Green - UKA00575,no2,15,µg/m³,9/6/2025 8:00
Sheffield Devonshire Green - UKA00575,no2,23,µg/m³,9/6/2025 9:00
Sheffield Devonshire Green - UKA00575,no2,24,µg/m³,9/6/2025 10:00
Sheffield Devonshire Green - UKA00575,no2,16,µg/m³,9/6/2025 11:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,9/6/2025 12:00
Sheffield Devonshire Green - UKA00575,no2,14,µg/m³,9/6/2025 13:00
Sheffield Devonshire Green - UKA00575,no2,13,µg/m³,9/6/2025 14:00
Sheffield Devonshire Green - UKA00575,no2,15,µg/m³,9/6/2025 15:00
Sheffield Devonshire Green - UKA00575,no2,20,µg/m³,9/6/2025 16:00
Sheffield Devonshire Green - UKA00575,no2,18,µg/m³,9/6/2025 17:00
Sheffield Devonshire Green - UKA00575,no2,14,µg/m³,9/6/2025 18:00
Sheffield Devonshire Green - UKA00575,no2,12,µg/m³,9/6/2025 19:00
